breed_id,breed_name,group,registry,size,origin,min_photos_needed,photos_collected,photos_annotated,status,source_link,license_type,partner_source,collection_priority,last_updated,notes
BR_0050,Xolo (Mexican Hairless) Variant 50,Non-Sporting,FCI,Medium,Mexico,500,447,200,in_progress,,,,medium,2025-06-30,
BR_0051,Norwegian Lundehund Variant 51,Hound,FCI,Small,Norway,500,246,130,in_progress,,,,medium,2025-06-30,
BR_0052,Telomian Variant 52,Primitive,Rare,Medium,Malaysia,500,420,278,in_progress,,,,low,2025-06-30,
BR_0053,Carolina Dog Variant 53,Primitive,UKC,Medium,USA,500,369,286,in_progress,,,,medium,2025-06-30,
BR_0054,Golden Retriever Variant 54,Sporting,AKC,Large,Scotland,500,3,249,not_started,,,,high,2025-06-30,
BR_0055,Labrador Retriever Variant 55,Sporting,AKC,Large,Newfoundland,500,380,273,in_progress,,,,high,2025-06-30,
BR_0056,Pointer Variant 56,Sporting,AKC,Large,England,500,366,195,in_progress,,,,high,2025-06-30,
BR_0057,English Setter Variant 57,Sporting,AKC,Large,England,500,196,60,in_progress,,,,high,2025-06-30,
BR_0058,Irish Setter Variant 58,Sporting,AKC,Large,Ireland,500,39,157,not_started,,,,high,2025-06-30,
BR_0059,German Shepherd Variant 59,Herding,AKC,Large,Germany,500,151,172,in_progress,,,,high,2025-06-30,
BR_0060,Siberian Husky Variant 60,Working,AKC,Large,Siberia,500,412,108,in_progress,,,,high,2025-06-30,
BR_0061,Rottweiler Variant 61,Working,AKC,Large,Germany,500,126,265,in_progress,,,,high,2025-06-30,
BR_0062,Doberman Pinscher Variant 62,Working,AKC,Large,Germany,500,4,279,not_started,,,,high,2025-06-30,
BR_0063,Great Dane Variant 63,Working,AKC,Giant,Germany,500,429,193,in_progress,,,,high,2025-06-30,
BR_0064,Beagle Variant 64,Hound,AKC,Medium,England,500,584,118,complete,,,,medium,2025-06-30,
BR_0065,Bloodhound Variant 65,Hound,AKC,Large,Belgium,500,153,54,in_progress,,,,medium,2025-06-30,
BR_0066,Greyhound Variant 66,Hound,AKC,Large,Ancient,500,437,205,in_progress,,,,medium,2025-06-30,
BR_0067,Basset Hound Variant 67,Hound,AKC,Medium,France,500,538,145,complete,,,,medium,2025-06-30,
BR_0068,Chihuahua Variant 68,Toy,AKC,Toy,Mexico,500,159,61,in_progress,,,,medium,2025-06-30,
BR_0069,Pug Variant 69,Toy,AKC,Small,China,500,539,208,complete,,,,medium,2025-06-30,
BR_0070,Yorkshire Terrier Variant 70,Toy,AKC,Toy,England,500,397,271,in_progress,,,,medium,2025-06-30,
BR_0071,French Bulldog Variant 71,Non-Sporting,AKC,Small,France,500,388,98,in_progress,,,,medium,2025-06-30,
BR_0072,Poodle Variant 72,Non-Sporting,AKC,Large,Germany,500,73,201,not_started,,,,medium,2025-06-30,
BR_0073,Boston Terrier Variant 73,Non-Sporting,AKC,Small,USA,500,90,79,not_started,,,,medium,2025-06-30,
BR_0074,Border Collie Variant 74,Herding,AKC,Medium,Scotland,500,381,174,in_progress,,,,high,2025-06-30,
BR_0075,Australian Shepherd Variant 75,Herding,AKC,Medium,USA,500,43,13,not_started,,,,high,2025-06-30,
BR_0076,Lagotto Romagnolo Variant 76,Sporting,FCI,Medium,Italy,500,50,265,not_started,,,,high,2025-06-30,
BR_0077,Xolo (Mexican Hairless) Variant 77,Non-Sporting,FCI,Medium,Mexico,500,98,109,not_started,,,,medium,2025-06-30,
BR_0078,Norwegian Lundehund Variant 78,Hound,FCI,Small,Norway,500,11,201,not_started,,,,medium,2025-06-30,
BR_0079,Telomian Variant 79,Primitive,Rare,Medium,Malaysia,500,545,149,complete,,,,low,2025-06-30,
BR_0080,Carolina Dog Variant 80,Primitive,UKC,Medium,USA,500,65,170,not_started,,,,medium,2025-06-30,
BR_0081,Golden Retriever Variant 81,Sporting,AKC,Large,Scotland,500,110,259,in_progress,,,,high,2025-06-30,
BR_0082,Labrador Retriever Variant 82,Sporting,AKC,Large,Newfoundland,500,61,230,not_started,,,,high,2025-06-30,
BR_0083,Pointer Variant 83,Sporting,AKC,Large,England,500,79,4,not_started,,,,high,2025-06-30,
BR_0084,English Setter Variant 84,Sporting,AKC,Large,England,500,413,244,in_progress,,,,high,2025-06-30,
BR_0085,Irish Setter Variant 85,Sporting,AKC,Large,Ireland,500,408,293,in_progress,,,,high,2025-06-30,
BR_0086,German Shepherd Variant 86,Herding,AKC,Large,Germany,500,465,94,in_progress,,,,high,2025-06-30,
BR_0087,Siberian Husky Variant 87,Working,AKC,Large,Siberia,500,230,15,in_progress,,,,high,2025-06-30,
BR_0088,Rottweiler Variant 88,Working,AKC,Large,Germany,500,384,21,in_progress,,,,high,2025-06-30,
BR_0089,Doberman Pinscher Variant 89,Working,AKC,Large,Germany,500,241,142,in_progress,,,,high,2025-06-30,
BR_0090,Great Dane Variant 90,Working,AKC,Giant,Germany,500,560,140,complete,,,,high,2025-06-30,
BR_0091,Beagle Variant 91,Hound,AKC,Medium,England,500,34,254,not_started,,,,medium,2025-06-30,
BR_0092,Bloodhound Variant 92,Hound,AKC,Large,Belgium,500,526,54,complete,,,,medium,2025-06-30,
BR_0093,Greyhound Variant 93,Hound,AKC,Large,Ancient,500,207,166,in_progress,,,,medium,2025-06-30,
BR_0094,Basset Hound Variant 94,Hound,AKC,Medium,France,500,320,0,in_progress,,,,medium,2025-06-30,
BR_0095,Chihuahua Variant 95,Toy,AKC,Toy,Mexico,500,71,138,not_started,,,,medium,2025-06-30,
BR_0096,Pug Variant 96,Toy,AKC,Small,China,500,111,151,in_progress,,,,medium,2025-06-30,
BR_0097,Yorkshire Terrier Variant 97,Toy,AKC,Toy,England,500,434,225,in_progress,,,,medium,2025-06-30,
BR_0098,French Bulldog Variant 98,Non-Sporting,AKC,Small,France,500,126,189,in_progress,,,,medium,2025-06-30,
BR_0099,Poodle Variant 99,Non-Sporting,AKC,Large,Germany,500,556,35,complete,,,,medium,2025-06-30,
BR_0100,Boston Terrier Variant 100,Non-Sporting,AKC,Small,USA,500,370,219,in_progress,,,,medium,2025-06-30,
BR_0101,Border Collie Variant 101,Herding,AKC,Medium,Scotland,500,527,276,complete,,,,high,2025-06-30,
BR_0102,Australian Shepherd Variant 102,Herding,AKC,Medium,USA,500,333,252,in_progress,,,,high,2025-06-30,
BR_0103,Lagotto Romagnolo Variant 103,Sporting,FCI,Medium,Italy,500,524,88,complete,,,,high,2025-06-30,
BR_0104,Xolo (Mexican Hairless) Variant 104,Non-Sporting,FCI,Medium,Mexico,500,21,2,not_started,,,,medium,2025-06-30,
BR_0105,Norwegian Lundehund Variant 105,Hound,FCI,Small,Norway,500,441,152,in_progress,,,,medium,2025-06-30,
BR_0106,Telomian Variant 106,Primitive,Rare,Medium,Malaysia,500,500,210,complete,,,,low,2025-06-30,
BR_0107,Carolina Dog Variant 107,Primitive,UKC,Medium,USA,500,354,198,in_progress,,,,medium,2025-06-30,
BR_0108,Golden Retriever Variant 108,Sporting,AKC,Large,Scotland,500,23,261,not_started,,,,high,2025-06-30,
BR_0109,Labrador Retriever Variant 109,Sporting,AKC,Large,Newfoundland,500,188,154,in_progress,,,,high,2025-06-30,
BR_0110,Pointer Variant 110,Sporting,AKC,Large,England,500,313,297,in_progress,,,,high,2025-06-30,
BR_0111,English Setter Variant 111,Sporting,AKC,Large,England,500,395,166,in_progress,,,,high,2025-06-30,
BR_0112,Irish Setter Variant 112,Sporting,AKC,Large,Ireland,500,245,287,in_progress,,,,high,2025-06-30,
BR_0113,German Shepherd Variant 113,Herding,AKC,Large,Germany,500,333,4,in_progress,,,,high,2025-06-30,
BR_0114,Siberian Husky Variant 114,Working,AKC,Large,Siberia,500,230,90,in_progress,,,,high,2025-06-30,
BR_0115,Rottweiler Variant 115,Working,AKC,Large,Germany,500,222,11,in_progress,,,,high,2025-06-30,
BR_0116,Doberman Pinscher Variant 116,Working,AKC,Large,Germany,500,466,143,in_progress,,,,high,2025-06-30,
BR_0117,Great Dane Variant 117,Working,AKC,Giant,Germany,500,180,60,in_progress,,,,high,2025-06-30,
BR_0118,Beagle Variant 118,Hound,AKC,Medium,England,500,36,44,not_started,,,,medium,2025-06-30,
BR_0119,Bloodhound Variant 119,Hound,AKC,Large,Belgium,500,337,62,in_progress,,,,medium,2025-06-30,
BR_0120,Greyhound Variant 120,Hound,AKC,Large,Ancient,500,593,291,complete,,,,medium,2025-06-30,
BR_0121,Basset Hound Variant 121,Hound,AKC,Medium,France,500,355,143,in_progress,,,,medium,2025-06-30,
BR_0122,Chihuahua Variant 122,Toy,AKC,Toy,Mexico,500,157,200,in_progress,,,,medium,2025-06-30,
BR_0123,Pug Variant 123,Toy,AKC,Small,China,500,76,180,not_started,,,,medium,2025-06-30,
BR_0124,Yorkshire Terrier Variant 124,Toy,AKC,Toy,England,500,515,236,complete,,,,medium,2025-06-30,
BR_0125,French Bulldog Variant 125,Non-Sporting,AKC,Small,France,500,221,47,in_progress,,,,medium,2025-06-30,
BR_0126,Poodle Variant 126,Non-Sporting,AKC,Large,Germany,500,47,68,not_started,,,,medium,2025-06-30,
BR_0127,Boston Terrier Variant 127,Non-Sporting,AKC,Small,USA,500,316,48,in_progress,,,,medium,2025-06-30,
BR_0128,Border Collie Variant 128,Herding,AKC,Medium,Scotland,500,153,184,in_progress,,,,high,2025-06-30,
BR_0129,Australian Shepherd Variant 129,Herding,AKC,Medium,USA,500,498,231,in_progress,,,,high,2025-06-30,
BR_0130,Lagotto Romagnolo Variant 130,Sporting,FCI,Medium,Italy,500,96,191,not_started,,,,high,2025-06-30,
BR_0131,Xolo (Mexican Hairless) Variant 131,Non-Sporting,FCI,Medium,Mexico,500,345,280,in_progress,,,,medium,2025-06-30,
BR_0132,Norwegian Lundehund Variant 132,Hound,FCI,Small,Norway,500,172,117,in_progress,,,,medium,2025-06-30,
BR_0133,Telomian Variant 133,Primitive,Rare,Medium,Malaysia,500,81,217,not_started,,,,low,2025-06-30,
BR_0134,Carolina Dog Variant 134,Primitive,UKC,Medium,USA,500,253,235,in_progress,,,,medium,2025-06-30,
BR_0135,Golden Retriever Variant 135,Sporting,AKC,Large,Scotland,500,489,204,in_progress,,,,high,2025-06-30,
BR_0136,Labrador Retriever Variant 136,Sporting,AKC,Large,Newfoundland,500,162,6,in_progress,,,,high,2025-06-30,
BR_0137,Pointer Variant 137,Sporting,AKC,Large,England,500,565,165,complete,,,,high,2025-06-30,
BR_0138,English Setter Variant 138,Sporting,AKC,Large,England,500,11,15,not_started,,,,high,2025-06-30,
BR_0139,Irish Setter Variant 139,Sporting,AKC,Large,Ireland,500,595,121,complete,,,,high,2025-06-30,
BR_0140,German Shepherd Variant 140,Herding,AKC,Large,Germany,500,195,210,in_progress,,,,high,2025-06-30,
BR_0141,Siberian Husky Variant 141,Working,AKC,Large,Siberia,500,450,291,in_progress,,,,high,2025-06-30,
BR_0142,Rottweiler Variant 142,Working,AKC,Large,Germany,500,322,113,in_progress,,,,high,2025-06-30,
BR_0143,Doberman Pinscher Variant 143,Working,AKC,Large,Germany,500,597,250,complete,,,,high,2025-06-30,
BR_0144,Great Dane Variant 144,Working,AKC,Giant,Germany,500,442,95,in_progress,,,,high,2025-06-30,
BR_0145,Beagle Variant 145,Hound,AKC,Medium,England,500,554,22,complete,,,,medium,2025-06-30,
BR_0146,Bloodhound Variant 146,Hound,AKC,Large,Belgium,500,98,71,not_started,,,,medium,2025-06-30,
BR_0147,Greyhound Variant 147,Hound,AKC,Large,Ancient,500,246,217,in_progress,,,,medium,2025-06-30,
BR_0148,Basset Hound Variant 148,Hound,AKC,Medium,France,500,309,53,in_progress,,,,medium,2025-06-30,
BR_0149,Chihuahua Variant 149,Toy,AKC,Toy,Mexico,500,316,71,in_progress,,,,medium,2025-06-30,
BR_0150,Pug Variant 150,Toy,AKC,Small,China,500,529,59,complete,,,,medium,2025-06-30,
BR_0151,Yorkshire Terrier Variant 151,Toy,AKC,Toy,England,500,192,135,in_progress,,,,medium,2025-06-30,
BR_0152,French Bulldog Variant 152,Non-Sporting,AKC,Small,France,500,189,173,in_progress,,,,medium,2025-06-30,
BR_0153,Poodle Variant 153,Non-Sporting,AKC,Large,Germany,500,517,198,complete,,,,medium,2025-06-30,
BR_0154,Boston Terrier Variant 154,Non-Sporting,AKC,Small,USA,500,129,281,in_progress,,,,medium,2025-06-30,
BR_0155,Border Collie Variant 155,Herding,AKC,Medium,Scotland,500,96,288,not_started,,,,high,2025-06-30,
BR_0156,Australian Shepherd Variant 156,Herding,AKC,Medium,USA,500,223,83,in_progress,,,,high,2025-06-30,
BR_0157,Lagotto Romagnolo Variant 157,Sporting,FCI,Medium,Italy,500,599,147,complete,,,,high,2025-06-30,
BR_0158,Xolo (Mexican Hairless) Variant 158,Non-Sporting,FCI,Medium,Mexico,500,110,145,in_progress,,,,medium,2025-06-30,
BR_0159,Norwegian Lundehund Variant 159,Hound,FCI,Small,Norway,500,243,62,in_progress,,,,medium,2025-06-30,
BR_0160,Telomian Variant 160,Primitive,Rare,Medium,Malaysia,500,158,25,in_progress,,,,low,2025-06-30,
BR_0161,Carolina Dog Variant 161,Primitive,UKC,Medium,USA,500,539,108,complete,,,,medium,2025-06-30,
BR_0162,Golden Retriever Variant 162,Sporting,AKC,Large,Scotland,500,241,215,in_progress,,,,high,2025-06-30,
BR_0163,Labrador Retriever Variant 163,Sporting,AKC,Large,Newfoundland,500,164,162,in_progress,,,,high,2025-06-30,
BR_0164,Pointer Variant 164,Sporting,AKC,Large,England,500,285,290,in_progress,,,,high,2025-06-30,
BR_0165,English Setter Variant 165,Sporting,AKC,Large,England,500,565,193,complete,,,,high,2025-06-30,
BR_0166,Irish Setter Variant 166,Sporting,AKC,Large,Ireland,500,550,91,complete,,,,high,2025-06-30,
BR_0167,German Shepherd Variant 167,Herding,AKC,Large,Germany,500,411,52,in_progress,,,,high,2025-06-30,
BR_0168,Siberian Husky Variant 168,Working,AKC,Large,Siberia,500,473,59,in_progress,,,,high,2025-06-30,
BR_0169,Rottweiler Variant 169,Working,AKC,Large,Germany,500,513,224,complete,,,,high,2025-06-30,
BR_0170,Doberman Pinscher Variant 170,Working,AKC,Large,Germany,500,157,97,in_progress,,,,high,2025-06-30,
BR_0171,Great Dane Variant 171,Working,AKC,Giant,Germany,500,119,170,in_progress,,,,high,2025-06-30,
BR_0172,Beagle Variant 172,Hound,AKC,Medium,England,500,397,207,in_progress,,,,medium,2025-06-30,
BR_0173,Bloodhound Variant 173,Hound,AKC,Large,Belgium,500,153,254,in_progress,,,,medium,2025-06-30,
BR_0174,Greyhound Variant 174,Hound,AKC,Large,Ancient,500,254,189,in_progress,,,,medium,2025-06-30,
BR_0175,Basset Hound Variant 175,Hound,AKC,Medium,France,500,102,170,in_progress,,,,medium,2025-06-30,
BR_0176,Chihuahua Variant 176,Toy,AKC,Toy,Mexico,500,351,154,in_progress,,,,medium,2025-06-30,
BR_0177,Pug Variant 177,Toy,AKC,Small,China,500,294,181,in_progress,,,,medium,2025-06-30,
BR_0178,Yorkshire Terrier Variant 178,Toy,AKC,Toy,England,500,595,20,complete,,,,medium,2025-06-30,
BR_0179,French Bulldog Variant 179,Non-Sporting,AKC,Small,France,500,575,288,complete,,,,medium,2025-06-30,
BR_0180,Poodle Variant 180,Non-Sporting,AKC,Large,Germany,500,323,126,in_progress,,,,medium,2025-06-30,
BR_0181,Boston Terrier Variant 181,Non-Sporting,AKC,Small,USA,500,109,186,in_progress,,,,medium,2025-06-30,
BR_0182,Border Collie Variant 182,Herding,AKC,Medium,Scotland,500,189,146,in_progress,,,,high,2025-06-30,
BR_0183,Australian Shepherd Variant 183,Herding,AKC,Medium,USA,500,415,128,in_progress,,,,high,2025-06-30,
BR_0184,Lagotto Romagnolo Variant 184,Sporting,FCI,Medium,Italy,500,329,249,in_progress,,,,high,2025-06-30,
BR_0185,Xolo (Mexican Hairless) Variant 185,Non-Sporting,FCI,Medium,Mexico,500,174,78,in_progress,,,,medium,2025-06-30,
BR_0186,Norwegian Lundehund Variant 186,Hound,FCI,Small,Norway,500,543,194,complete,,,,medium,2025-06-30,
BR_0187,Telomian Variant 187,Primitive,Rare,Medium,Malaysia,500,142,159,in_progress,,,,low,2025-06-30,
BR_0188,Carolina Dog Variant 188,Primitive,UKC,Medium,USA,500,500,179,complete,,,,medium,2025-06-30,
BR_0189,Golden Retriever Variant 189,Sporting,AKC,Large,Scotland,500,239,218,in_progress,,,,high,2025-06-30,
BR_0190,Labrador Retriever Variant 190,Sporting,AKC,Large,Newfoundland,500,512,147,complete,,,,high,2025-06-30,
BR_0191,Pointer Variant 191,Sporting,AKC,Large,England,500,210,40,in_progress,,,,high,2025-06-30,
BR_0192,English Setter Variant 192,Sporting,AKC,Large,England,500,463,168,in_progress,,,,high,2025-06-30,
BR_0193,Irish Setter Variant 193,Sporting,AKC,Large,Ireland,500,18,100,not_started,,,,high,2025-06-30,
BR_0194,German Shepherd Variant 194,Herding,AKC,Large,Germany,500,510,110,complete,,,,high,2025-06-30,
BR_0195,Siberian Husky Variant 195,Working,AKC,Large,Siberia,500,323,109,in_progress,,,,high,2025-06-30,
BR_0196,Rottweiler Variant 196,Working,AKC,Large,Germany,500,537,28,complete,,,,high,2025-06-30,
BR_0197,Doberman Pinscher Variant 197,Working,AKC,Large,Germany,500,323,155,in_progress,,,,high,2025-06-30,
BR_0198,Great Dane Variant 198,Working,AKC,Giant,Germany,500,203,278,in_progress,,,,high,2025-06-30,
BR_0199,Beagle Variant 199,Hound,AKC,Medium,England,500,337,22,in_progress,,,,medium,2025-06-30,
BR_0200,Bloodhound Variant 200,Hound,AKC,Large,Belgium,500,167,207,in_progress,,,,medium,2025-06-30,
BR_0201,Greyhound Variant 201,Hound,AKC,Large,Ancient,500,377,59,in_progress,,,,medium,2025-06-30,
BR_0202,Basset Hound Variant 202,Hound,AKC,Medium,France,500,212,248,in_progress,,,,medium,2025-06-30,
BR_0203,Chihuahua Variant 203,Toy,AKC,Toy,Mexico,500,136,71,in_progress,,,,medium,2025-06-30,
BR_0204,Pug Variant 204,Toy,AKC,Small,China,500,424,265,in_progress,,,,medium,2025-06-30,
BR_0205,Yorkshire Terrier Variant 205,Toy,AKC,Toy,England,500,173,96,in_progress,,,,medium,2025-06-30,
BR_0206,French Bulldog Variant 206,Non-Sporting,AKC,Small,France,500,525,152,complete,,,,medium,2025-06-30,
BR_0207,Poodle Variant 207,Non-Sporting,AKC,Large,Germany,500,180,184,in_progress,,,,medium,2025-06-30,
BR_0208,Boston Terrier Variant 208,Non-Sporting,AKC,Small,USA,500,483,65,in_progress,,,,medium,2025-06-30,
BR_0209,Border Collie Variant 209,Herding,AKC,Medium,Scotland,500,536,51,complete,,,,high,2025-06-30,
BR_0210,Australian Shepherd Variant 210,Herding,AKC,Medium,USA,500,120,62,in_progress,,,,high,2025-06-30,
BR_0211,Lagotto Romagnolo Variant 211,Sporting,FCI,Medium,Italy,500,242,218,in_progress,,,,high,2025-06-30,
BR_0212,Xolo (Mexican Hairless) Variant 212,Non-Sporting,FCI,Medium,Mexico,500,396,245,in_progress,,,,medium,2025-06-30,
BR_0213,Norwegian Lundehund Variant 213,Hound,FCI,Small,Norway,500,306,14,in_progress,,,,medium,2025-06-30,
BR_0214,Telomian Variant 214,Primitive,Rare,Medium,Malaysia,500,214,212,in_progress,,,,low,2025-06-30,
BR_0215,Carolina Dog Variant 215,Primitive,UKC,Medium,USA,500,97,123,not_started,,,,medium,2025-06-30,
BR_0216,Golden Retriever Variant 216,Sporting,AKC,Large,Scotland,500,346,131,in_progress,,,,high,2025-06-30,
BR_0217,Labrador Retriever Variant 217,Sporting,AKC,Large,Newfoundland,500,405,176,in_progress,,,,high,2025-06-30,
BR_0218,Pointer Variant 218,Sporting,AKC,Large,England,500,400,138,in_progress,,,,high,2025-06-30,
BR_0219,English Setter Variant 219,Sporting,AKC,Large,England,500,585,292,complete,,,,high,2025-06-30,
BR_0220,Irish Setter Variant 220,Sporting,AKC,Large,Ireland,500,571,235,complete,,,,high,2025-06-30,
BR_0221,German Shepherd Variant 221,Herding,AKC,Large,Germany,500,513,67,complete,,,,high,2025-06-30,
BR_0222,Siberian Husky Variant 222,Working,AKC,Large,Siberia,500,102,232,in_progress,,,,high,2025-06-30,
BR_0223,Rottweiler Variant 223,Working,AKC,Large,Germany,500,575,226,complete,,,,high,2025-06-30,
BR_0224,Doberman Pinscher Variant 224,Working,AKC,Large,Germany,500,377,219,in_progress,,,,high,2025-06-30,
BR_0225,Great Dane Variant 225,Working,AKC,Giant,Germany,500,259,221,in_progress,,,,high,2025-06-30,
BR_0226,Beagle Variant 226,Hound,AKC,Medium,England,500,223,263,in_progress,,,,medium,2025-06-30,
BR_0227,Bloodhound Variant 227,Hound,AKC,Large,Belgium,500,581,200,complete,,,,medium,2025-06-30,
BR_0228,Greyhound Variant 228,Hound,AKC,Large,Ancient,500,483,251,in_progress,,,,medium,2025-06-30,
BR_0229,Basset Hound Variant 229,Hound,AKC,Medium,France,500,296,14,in_progress,,,,medium,2025-06-30,
BR_0230,Chihuahua Variant 230,Toy,AKC,Toy,Mexico,500,516,77,complete,,,,medium,2025-06-30,
BR_0231,Pug Variant 231,Toy,AKC,Small,China,500,192,37,in_progress,,,,medium,2025-06-30,
BR_0232,Yorkshire Terrier Variant 232,Toy,AKC,Toy,England,500,323,118,in_progress,,,,medium,2025-06-30,
BR_0233,French Bulldog Variant 233,Non-Sporting,AKC,Small,France,500,286,213,in_progress,,,,medium,2025-06-30,
BR_0234,Poodle Variant 234,Non-Sporting,AKC,Large,Germany,500,141,74,in_progress,,,,medium,2025-06-30,
BR_0235,Boston Terrier Variant 235,Non-Sporting,AKC,Small,USA,500,33,5,not_started,,,,medium,2025-06-30,
BR_0236,Border Collie Variant 236,Herding,AKC,Medium,Scotland,500,350,55,in_progress,,,,high,2025-06-30,
BR_0237,Australian Shepherd Variant 237,Herding,AKC,Medium,USA,500,449,225,in_progress,,,,high,2025-06-30,
BR_0238,Lagotto Romagnolo Variant 238,Sporting,FCI,Medium,Italy,500,89,285,not_started,,,,high,2025-06-30,
