breed_name,group,collection_priority,estimated_images_needed,collection_status
Lakeland Terrier,AKC_Terrier,high,500,pending
Manchester Terrier,AKC_Terrier,high,500,pending
Miniature Bull Terrier,AKC_Terrier,high,500,pending
Miniature Schnauzer,AKC_Terrier,high,500,pending
Norfolk Terrier,AKC_Terrier,high,500,pending
Norwich Terrier,AKC_Terrier,high,500,pending
Parson Russell Terrier,AKC_Terrier,high,500,pending
Russell Terrier,AKC_Terrier,high,500,pending
Scottish Terrier,AKC_Terrier,high,500,pending
Sealyham Terrier,AKC_Terrier,high,500,pending
Skye Terrier,AKC_Terrier,high,500,pending
Smooth Fox Terrier,AKC_Terrier,high,500,pending
Soft Coated Wheaten Terrier,AKC_Terrier,high,500,pending
Staffordshire Bull Terrier,AKC_Terrier,high,500,pending
Welsh Terrier,AKC_Terrier,high,500,pending
West Highland White Terrier,AKC_Terrier,high,500,pending
Wire Fox Terrier,AKC_Terrier,high,500,pending
Affenpinscher,AKC_Toy,high,500,pending
Brussels Griffon,AKC_Toy,high,500,pending
Cavalier King Charles Spaniel,AKC_Toy,high,500,pending
Chihuahua,AKC_Toy,high,500,pending
Chinese Crested,AKC_Toy,high,500,pending
English Toy Spaniel,AKC_Toy,high,500,pending
Havanese,AKC_Toy,high,500,pending
Italian Greyhound,AKC_Toy,high,500,pending
Japanese Chin,AKC_Toy,high,500,pending
Maltese,AKC_Toy,high,500,pending
Manchester Terrier (Toy),AKC_Toy,high,500,pending
Miniature Pinscher,AKC_Toy,high,500,pending
Papillon,AKC_Toy,high,500,pending
Pekingese,AKC_Toy,high,500,pending
Pomeranian,AKC_Toy,high,500,pending
Poodle (Toy),AKC_Toy,high,500,pending
Pug,AKC_Toy,high,500,pending
Shih Tzu,AKC_Toy,high,500,pending
Silky Terrier,AKC_Toy,high,500,pending
Yorkshire Terrier,AKC_Toy,high,500,pending
American Eskimo Dog,AKC_Non_Sporting,high,500,pending
Bichon Frise,AKC_Non_Sporting,high,500,pending
Boston Terrier,AKC_Non_Sporting,high,500,pending
Bulldog,AKC_Non_Sporting,high,500,pending
Chinese Shar-Pei,AKC_Non_Sporting,high,500,pending
Chow Chow,AKC_Non_Sporting,high,500,pending
Dalmatian,AKC_Non_Sporting,high,500,pending
Finnish Spitz,AKC_Non_Sporting,high,500,pending
French Bulldog,AKC_Non_Sporting,high,500,pending
Keeshond,AKC_Non_Sporting,high,500,pending
Lhasa Apso,AKC_Non_Sporting,high,500,pending
Lowchen,AKC_Non_Sporting,high,500,pending
Norwegian Lundehund,AKC_Non_Sporting,high,500,pending
Poodle (Miniature),AKC_Non_Sporting,high,500,pending
Poodle (Standard),AKC_Non_Sporting,high,500,pending
Schipperke,AKC_Non_Sporting,high,500,pending
Shiba Inu,AKC_Non_Sporting,high,500,pending
Tibetan Spaniel,AKC_Non_Sporting,high,500,pending
Tibetan Terrier,AKC_Non_Sporting,high,500,pending
Xoloitzcuintli,AKC_Non_Sporting,high,500,pending
Australian Cattle Dog,AKC_Herding,high,500,pending
Australian Shepherd,AKC_Herding,high,500,pending
Bearded Collie,AKC_Herding,high,500,pending
Belgian Malinois,AKC_Herding,high,500,pending
Belgian Sheepdog,AKC_Herding,high,500,pending
Belgian Tervuren,AKC_Herding,high,500,pending
Border Collie,AKC_Herding,high,500,pending
Bouvier des Flandres,AKC_Herding,high,500,pending
Briard,AKC_Herding,high,500,pending
Canaan Dog,AKC_Herding,high,500,pending
Cardigan Welsh Corgi,AKC_Herding,high,500,pending
Collie,AKC_Herding,high,500,pending
German Shepherd Dog,AKC_Herding,high,500,pending
Icelandic Sheepdog,AKC_Herding,high,500,pending
Miniature American Shepherd,AKC_Herding,high,500,pending
Norwegian Buhund,AKC_Herding,high,500,pending
Old English Sheepdog,AKC_Herding,high,500,pending
Pembroke Welsh Corgi,AKC_Herding,high,500,pending
Polish Lowland Sheepdog,AKC_Herding,high,500,pending
Puli,AKC_Herding,high,500,pending
Pyrenean Shepherd,AKC_Herding,high,500,pending
Shetland Sheepdog,AKC_Herding,high,500,pending
Spanish Water Dog,AKC_Herding,high,500,pending
Swedish Vallhund,AKC_Herding,high,500,pending
Azawakh,Rare_International,high,500,pending
Barbet,Rare_International,high,500,pending
Catalburun,Rare_International,high,500,pending
Telomian,Rare_International,high,500,pending
New Guinea Singing Dog,Rare_International,high,500,pending
Carolina Dog,Rare_International,high,500,pending
Kai Ken,Rare_International,high,500,pending
Kishu Ken,Rare_International,high,500,pending
Shikoku,Rare_International,high,500,pending
Hokkaido,Rare_International,high,500,pending
Thai Ridgeback,Rare_International,high,500,pending
Peruvian Inca Orchid,Rare_International,high,500,pending
Mudi,Rare_International,high,500,pending
Pumi,Rare_International,high,500,pending
Lagotto Romagnolo,Rare_International,high,500,pending
Bracco Italiano,Rare_International,high,500,pending
